file_name,text,true_class,predicted_class
2823064.txt,"Journal of Chromatography B Advancements in and applications of methodologies related to drugs, other biologically active compounds, metabolites, biomarkers, nucleic acids, proteins, peptides and glycans. ",Chemistry,Chemistry
2850707.txt,"Archimede A powerful calculator for Linux. Algebric, RPN, vectors, matrices, quaternions, System, equations, complex numbers, solution of triangles, measure conversion. License GPL. ",Math,Math
2784805.txt,"Mytilus edulis: Blue Mussel Information from the FAO on the culture of this species, its biology, habitat, the production cycle, production systems, diseases, production statistics, markets and trade. ",Agriculture,Agriculture
Sciences_2829710.txt,"Condor Consulting Inc. Provides general geophysical consulting for minerals exploration, and/or groundwater and environmental assessment, specializing in airborne survey management, processing, interpretation, QC, and safety. ",Earth,Earth
Sciences_2866064.txt,"Administrative Divisions of Countries (""Statoids"") Worldwide reference for states, provinces, governorates, counties, districts, and other subdivisions of countries. ",Social,Biology
2804028.txt,"Ditylenchus destructor Illustration and description of the Potato Rot Nematode, its biology, distribution within the former USSR, ecology and economic significance. ",Biology,Biology
2791678.txt,Globular cluster M15 A large image and a discussion of M15 as a candidate for an example of core collapse. ,Astronomy,Biology
2785392.txt,"Cowpea Provides an overview of this crop, a production guide, information on growing cowpea and pest management advice. ",Agriculture,Agriculture
2825570.txt,"Organomed Corporation Providing custom synthesis of specialty biochemicals, drug intermediates and natural products with medicinal and biological activity. ",Chemistry,Biology
2787444.txt,"National Dryland Salinity Program Is a collaborative research and development effort that is investigating the causes of, and solutions to, the problem of dryland salinity in Australia. ",Agriculture,Environment
Sciences_2871376.txt,Scanning the Business Environment for Information: a Grounded Theory approach this paper summarizes the principal findings of research that sought to provide a comprehensive understanding of the environmental scanning process -- by Zita Correia and T.D. Wilson. ,Social,Environment
2837790.txt,"Environmental Service and Technology Corp. (ENSAT) A consulting firm providing environmental and telecommunications services to the private sector, based in North America. ",Environment,Environment
2789534.txt,"Collins Electro Optics, LLC Manufactures the I 3 eyepiece visual image intensifier system which features TeleVue optics, and an optional CCD video adapter for real time display. ",Astronomy,Physics
2785683.txt,"Auburn University: Department of Fisheries and Allied Aquacultures Outline of research programs on marine fisheries management and aquaculture, particularly in Alabama's coastal region. ",Agriculture,Earth
2842371.txt,"Frequently Asked Questions in Mathematics Covers diverse topics such as algebra structure, names for large numbers, how to compute pi and games. ",Math,Math
2838500.txt,"KFS Water Fleck controls, ozone, wyckomar uv sterilizers, filmtec membranes, autotrol controls, DI, and deionization. ",Environment,Environment
Sciences_2831503.txt,"Lecanocrinus in the Czech Republic Detailed description, with references, of this Devonian crinoid. ",Earth,Biology
Sciences_2874491.txt,The Platinum Rule Profiles daily interaction. ,Social,Earth
2784930.txt,"International Centre for Agricultural Education (CIEA) An international study centre for agricultural education. Details of seminars for teaching in agricultural universities, colleges and vocational schools. Berne. ",Agriculture,Agriculture
