file_name,text,class
2786497.txt,"Texas A&amp;M Horticultural Extension - Vegetables Includes newsletters, Vegetable Grower's Handbook, and Crop Guides. ",Agriculture
2784741.txt,"Algaculture Information from Wikipedia on this form of aquaculture involving the production of microalgae, including growing, harvesting and processing the algae, and using it as an energy source and in commerce and industry. ",Agriculture
2785016.txt,"Annual Canarygrass Factsheet on this grain crop with production practices and a life cycle similar to that of spring wheat or oats, its history, uses, varieties and cultivation. ",Agriculture
2786133.txt,"Black Sigatoka Photographs and information on this devastating fungal disease of bananas, its appearance, occurrence and significance. ",Agriculture
2786989.txt,Irrigation Training and Research Center University web site. Focusing on irrigation training and research. ,Agriculture
2785038.txt,"Missouri Corn Provides information on growing corn in Missouri. Also provides information on ethanol production, scientific research and educational information. ",Agriculture
2786717.txt,GLOBALGAP Non-governmental organization that sets voluntary standards for the certification of agricultural products around the globe. It aims to reassure consumers about how food is produced by minimising detrimental environmental impacts of farming operations and reducing the use of chemical inputs. ,Agriculture
2785534.txt,"Europatat, European Potato Trade Association Represents and promotes the interests of its members. Statistics on European production. ",Agriculture
2785276.txt,"Kenaf Paper: An Ecological Alternative written by the Forest Friendly Paper Campaign, this site discusses on how kenaf is identified as the best non-wood paper alternative. ",Agriculture
2785778.txt,"Tree Care Industry Association TCIA is a nonprofit US trade association of companies in the tree care industry, formerly the National Arborist Association. ",Agriculture
2785621.txt,Fusarium Wilt Photograph of tobacco plants infected by Fusarium oxysporum sp. nicotianae and a description of the symptoms. ,Agriculture
2785889.txt,"Forestry &amp; Forest Products Research Centre - South Africa Contract research in forestry, wood quality, wood properties, pulp and paper, sawmilling, remote sensing; and software programs for the forestry and forest products industry. ",Agriculture
2785670.txt,West Galloway Fisheries Trust Manage Salmon fisheries in Scotland. ,Agriculture
2784798.txt,"Farming Blue Mussels Provides information on blue mussels, their distribution, habitat, general biology, obtaining a supply of juveniles, several methods of culture and their potential in Western Australia. ",Agriculture
2784990.txt,"University of Maine Cooperative Extension Links to county offices, resources, publications, topics of local interest. ",Agriculture
2785752.txt,Ecological Restoration Institute ERI aims to help land management agencies and communities by conducting research into implementing restoration treatments for frequent-fire forest and woodland landscapes of the Interior West. ,Agriculture
2785799.txt,"The Forest Products Society Includes a general description of the society with info on conferences and meetings, publications, the Forest Products Journal, membership, technical groups, and executive board and international staff listings. ",Agriculture
2784277.txt,"Pekin Bantams Articles, forum, and links for those raising bantams. ",Agriculture
2785436.txt,"Soya Summit Aual-track conference which will showcase industry trends in the soyfood/protein market as well as the biofuels industry. St. Louis, Missouri, United States. ",Agriculture
2786304.txt,Home Hydroponics An excellent introduction to the hydroponic methodology from the Virginia Cooperative Extension. ,Agriculture
2786609.txt,"Greenhouse Vegetable Production - University of Georgia Information on site selection, glasshouse design, production methods, fertilization and harvesting. Crops covered include cucumbers, peppers, tomatoes and leafy vegetables. ",Agriculture
2785027.txt,"Barley Stripe Mosaic Virus, Hordeivirus Photograph of both normal and affected seedlings. ",Agriculture
2785458.txt,"Soybean Rust: Is the U.S. Soybean Crop at Risk? Information on the fungus Phakopsora pachyrhizi and its distribution and effect on soya bean plants, with many photographs. ",Agriculture
2787634.txt,"Organic Agriculture Information Access A collection of historic USDA publications related to organic agriculture, published before 1942. ",Agriculture
2786407.txt,"Turf Program at the University of Massachusetts Education and workshops, management tips, turf publications, diagnostic services, and links to other useful turfgrass sites. ",Agriculture
